day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;INTARIAN_PEPPER_ROOT;10994;18;10987;20;10977;18;11010;19;11017;20;11027;13;11002.0;0.0
0;100;INTARIAN_PEPPER_ROOT;10993;20;10986;17;10976;13;11009;17;11016;13;11026;16;11001.0;0.0
0;200;INTARIAN_PEPPER_ROOT;10989;21;10982;18;10972;15;11006;19;11013;15;11023;11;10997.5;0.0
0;300;INTARIAN_PEPPER_ROOT;10989;19;10982;13;10972;17;11006;17;11013;16;11023;16;10997.5;0.0
0;400;INTARIAN_PEPPER_ROOT;10992;16;10985;16;10975;11;11008;19;11015;19;11025;16;11000.0;0.0
0;500;INTARIAN_PEPPER_ROOT;10994;12;10987;19;10977;17;11011;20;11018;17;11028;10;11002.5;0.0
0;600;INTARIAN_PEPPER_ROOT;10992;18;10985;15;10975;16;11009;19;11016;16;11026;13;11000.5;0.0
0;700;INTARIAN_PEPPER_ROOT;10992;17;10984;14;10973;13;11010;12;11018;13;11029;20;11001.0;0.0
0;800;INTARIAN_PEPPER_ROOT;10990;18;10982;18;10971;14;11008;15;11016;19;11027;13;10999.0;0.0
0;900;INTARIAN_PEPPER_ROOT;10994;20;10986;18;10975;10;11012;17;11020;20;11031;14;11003.0;0.0
0;1000;INTARIAN_PEPPER_ROOT;10992;20;10985;19;10975;19;11009;18;11016;17;11026;16;11000.5;0.0
0;1100;INTARIAN_PEPPER_ROOT;10995;17;10987;17;10976;19;11013;13;11021;14;11032;11;11004.0;0.0
0;1200;INTARIAN_PEPPER_ROOT;10988;17;10981;13;10971;12;11005;20;11012;13;11022;15;10996.5;0.0
0;1300;INTARIAN_PEPPER_ROOT;10992;21;10982;19;10968;17;11015;20;11025;10;11039;13;11003.5;0.0
0;1400;INTARIAN_PEPPER_ROOT;10994;15;10987;19;10977;18;11010;17;11017;15;11027;15;11002.0;0.0
0;1500;INTARIAN_PEPPER_ROOT;10988;17;10981;18;10971;14;11004;14;11011;12;11021;15;10996.0;0.0
0;1600;INTARIAN_PEPPER_ROOT;10990;15;10984;19;10975;18;11005;16;11011;15;11020;18;10997.5;0.0
0;1700;INTARIAN_PEPPER_ROOT;10997;20;10989;15;10978;15;11015;21;11023;12;11034;14;11006.0;0.0
0;1800;INTARIAN_PEPPER_ROOT;10991;19;10983;18;10972;10;11009;21;11017;17;11028;17;11000.0;0.0
0;1900;INTARIAN_PEPPER_ROOT;10989;16;10979;17;10965;12;11012;16;11022;18;11036;10;11000.5;0.0
0;2000;INTARIAN_PEPPER_ROOT;10987;20;10978;18;10965;13;11008;21;11017;20;11030;14;10997.5;0.0
0;2100;INTARIAN_PEPPER_ROOT;11001;15;10995;12;10986;16;11016;20;11022;16;11031;13;11008.5;0.0
0;2200;INTARIAN_PEPPER_ROOT;11000;24;10993;20;10983;14;11017;15;11024;16;11034;13;11008.5;0.0
0;2300;INTARIAN_PEPPER_ROOT;11000;15;10990;15;10976;12;11023;15;11033;14;11047;13;11011.5;0.0
0;2400;INTARIAN_PEPPER_ROOT;11001;23;10994;17;10984;14;11017;17;11024;16;11034;13;11009.0;0.0
0;2500;INTARIAN_PEPPER_ROOT;11001;20;10995;17;10986;10;11016;18;11022;15;11031;17;11008.5;0.0
0;2600;INTARIAN_PEPPER_ROOT;10999;21;10992;14;10982;16;11015;15;11022;19;11032;9;11007.0;0.0
0;2700;INTARIAN_PEPPER_ROOT;10999;21;10992;13;10982;11;11015;15;11022;17;11032;16;11007.0;0.0
0;2800;INTARIAN_PEPPER_ROOT;10996;17;10989;13;10979;10;11012;19;11019;17;11029;14;11004.0;0.0
0;2900;INTARIAN_PEPPER_ROOT;10997;17;10990;16;10980;15;11013;17;11020;13;11030;21;11005.0;0.0
0;3000;INTARIAN_PEPPER_ROOT;10995;13;10988;16;10978;12;11011;18;11018;11;11028;14;11003.0;0.0
0;3100;INTARIAN_PEPPER_ROOT;11002;19;10994;19;10983;12;11020;19;11028;15;11039;18;11011.0;0.0
0;3200;INTARIAN_PEPPER_ROOT;10997;21;10990;19;10980;18;11013;17;11020;15;11030;16;11005.0;0.0
0;3300;INTARIAN_PEPPER_ROOT;10999;23;10992;19;10982;16;11016;21;11023;17;11033;19;11007.5;0.0
0;3400;INTARIAN_PEPPER_ROOT;11002;17;10996;17;10987;13;11017;20;11023;12;11032;15;11009.5;0.0
0;3500;INTARIAN_PEPPER_ROOT;10996;19;10989;16;10979;16;11013;17;11020;17;11030;14;11004.5;0.0
0;3600;INTARIAN_PEPPER_ROOT;10993;18;10984;11;10971;17;11014;15;11023;19;11036;13;11003.5;0.0
0;3700;INTARIAN_PEPPER_ROOT;10993;17;10986;18;10976;15;11009;16;11016;18;11026;13;11001.0;0.0
0;3800;INTARIAN_PEPPER_ROOT;10997;17;10991;15;10982;14;11012;19;11018;25;11027;15;11004.5;0.0
0;3900;INTARIAN_PEPPER_ROOT;10990;22;10982;17;10971;21;11008;15;11016;16;11027;16;10999.0;0.0
0;4000;INTARIAN_PEPPER_ROOT;10998;19;10991;19;10981;13;11015;16;11022;19;11032;6;11006.5;0.0
0;4100;INTARIAN_PEPPER_ROOT;10999;21;10993;16;10984;14;11014;21;11020;14;11029;11;11006.5;0.0
0;4200;INTARIAN_PEPPER_ROOT;10995;20;10987;16;10976;15;11013;20;11021;18;11032;20;11004.0;0.0
0;4300;INTARIAN_PEPPER_ROOT;10996;23;10989;16;10979;18;11013;18;11020;18;11030;12;11004.5;0.0
0;4400;INTARIAN_PEPPER_ROOT;11002;11;10995;16;10985;11;11019;16;11026;18;11036;15;11010.5;0.0
0;4500;INTARIAN_PEPPER_ROOT;11000;14;10994;23;10985;14;11015;19;11021;18;11030;13;11007.5;0.0
0;4600;INTARIAN_PEPPER_ROOT;11000;17;10993;20;10983;14;11017;23;11024;20;11034;17;11008.5;0.0
0;4700;INTARIAN_PEPPER_ROOT;11001;17;10993;20;10982;20;11019;21;11027;17;11038;13;11010.0;0.0
0;4800;INTARIAN_PEPPER_ROOT;11004;18;10996;12;10985;12;11022;18;11030;15;11041;13;11013.0;0.0
0;4900;INTARIAN_PEPPER_ROOT;11002;14;10994;18;10982;8;11021;18;11029;16;11041;11;11011.5;0.0
0;5000;INTARIAN_PEPPER_ROOT;11001;19;10994;12;10984;18;11017;17;11024;17;11034;15;11009.0;0.0
0;5100;INTARIAN_PEPPER_ROOT;10992;17;10983;16;10971;18;11012;18;11021;16;11033;17;11002.0;0.0
0;5200;INTARIAN_PEPPER_ROOT;10996;19;10990;15;10981;10;11011;17;11017;11;11026;15;11003.5;0.0
0;5300;INTARIAN_PEPPER_ROOT;10998;18;10991;20;10981;9;11015;19;11022;21;11032;17;11006.5;0.0
0;5400;INTARIAN_PEPPER_ROOT;10999;19;10992;20;10982;12;11015;21;11022;15;11032;11;11007.0;0.0
0;5500;INTARIAN_PEPPER_ROOT;11000;19;10992;16;10981;15;11018;21;11026;16;11037;12;11009.0;0.0
0;5600;INTARIAN_PEPPER_ROOT;10995;16;10988;15;10978;17;11011;20;11018;16;11028;15;11003.0;0.0
0;5700;INTARIAN_PEPPER_ROOT;10992;13;10986;20;10977;15;11007;18;11013;20;11022;17;10999.5;0.0
0;5800;INTARIAN_PEPPER_ROOT;10995;17;10987;15;10976;16;11013;20;11021;11;11032;14;11004.0;0.0
0;5900;INTARIAN_PEPPER_ROOT;10996;17;10989;14;10979;14;11012;15;11019;15;11029;15;11004.0;0.0
0;6000;INTARIAN_PEPPER_ROOT;10996;13;10989;20;10979;15;11013;18;11020;16;11030;12;11004.5;0.0
0;6100;INTARIAN_PEPPER_ROOT;11001;23;10994;19;10984;15;11017;13;11024;16;11034;15;11009.0;0.0
0;6200;INTARIAN_PEPPER_ROOT;10997;21;10989;16;10978;13;11015;22;11023;17;11034;12;11006.0;0.0
0;6300;INTARIAN_PEPPER_ROOT;11005;20;10998;14;10988;15;11021;19;11028;19;11038;13;11013.0;0.0
0;6400;INTARIAN_PEPPER_ROOT;11001;12;10994;17;10984;13;11017;17;11024;14;11034;16;11009.0;0.0
0;6500;INTARIAN_PEPPER_ROOT;10998;16;10989;17;10977;10;11018;18;11027;19;11039;17;11008.0;0.0
0;6600;INTARIAN_PEPPER_ROOT;11003;15;10996;15;10986;12;11020;22;11027;13;11037;16;11011.5;0.0
0;6700;INTARIAN_PEPPER_ROOT;11001;17;10994;19;10984;15;11018;16;11025;22;11035;15;11009.5;0.0
0;6800;INTARIAN_PEPPER_ROOT;10996;17;10988;21;10977;11;11014;18;11022;14;11033;18;11005.0;0.0
0;6900;INTARIAN_PEPPER_ROOT;10993;23;10986;19;10976;11;11009;21;11016;14;11026;15;11001.0;0.0
0;7000;INTARIAN_PEPPER_ROOT;10998;14;10989;18;10975;17;11020;11;11029;15;11043;14;11009.0;0.0
0;7100;INTARIAN_PEPPER_ROOT;11007;15;10999;17;10988;15;11025;16;11033;20;11044;20;11016.0;0.0
0;7200;INTARIAN_PEPPER_ROOT;11007;21;10999;11;10988;18;11025;20;11033;18;11044;14;11016.0;0.0
0;7300;INTARIAN_PEPPER_ROOT;11004;22;10998;15;10989;12;11019;17;11025;16;11034;13;11011.5;0.0
0;7400;INTARIAN_PEPPER_ROOT;10997;18;10988;21;10975;18;11018;18;11027;18;11040;14;11007.5;0.0
0;7500;INTARIAN_PEPPER_ROOT;10996;15;10987;16;10975;17;11016;19;11025;16;11037;14;11006.0;0.0
0;7600;INTARIAN_PEPPER_ROOT;11000;20;10991;17;10978;12;11021;19;11030;12;11043;15;11010.5;0.0
0;7700;INTARIAN_PEPPER_ROOT;11000;20;10992;16;10981;15;11018;17;11026;14;11037;14;11009.0;0.0
0;7800;INTARIAN_PEPPER_ROOT;11001;17;10994;22;10984;17;11018;20;11025;12;11035;11;11009.5;0.0
0;7900;INTARIAN_PEPPER_ROOT;10994;13;10987;13;10977;15;11010;18;11017;14;11027;13;11002.0;0.0
0;8000;INTARIAN_PEPPER_ROOT;10997;17;10990;14;10980;15;11014;19;11021;17;11031;16;11005.5;0.0
0;8100;INTARIAN_PEPPER_ROOT;10997;16;10989;20;10978;19;11015;11;11023;15;11034;15;11006.0;0.0
0;8200;INTARIAN_PEPPER_ROOT;11001;21;10994;14;10984;15;11017;15;11024;16;11034;12;11009.0;0.0
0;8300;INTARIAN_PEPPER_ROOT;11002;19;10995;19;10985;12;11018;19;11025;16;11035;11;11010.0;0.0
0;8400;INTARIAN_PEPPER_ROOT;11000;16;10993;18;10983;10;11017;19;11024;18;11034;15;11008.5;0.0
0;8500;INTARIAN_PEPPER_ROOT;11005;15;10998;22;10988;19;11022;19;11029;14;11039;9;11013.5;0.0
0;8600;INTARIAN_PEPPER_ROOT;11001;20;10993;10;10981;19;11020;20;11028;20;11040;17;11010.5;0.0
0;8700;INTARIAN_PEPPER_ROOT;10997;22;10990;14;10980;17;11013;20;11020;22;11030;15;11005.0;0.0
0;8800;INTARIAN_PEPPER_ROOT;10997;18;10989;22;10977;10;11016;19;11024;14;11036;13;11006.5;0.0
0;8900;INTARIAN_PEPPER_ROOT;10999;16;10992;14;10982;13;11015;18;11022;15;11032;15;11007.0;0.0
0;9000;INTARIAN_PEPPER_ROOT;11005;11;10998;20;10988;16;11022;18;11029;18;11039;17;11013.5;0.0
0;9100;INTARIAN_PEPPER_ROOT;11006;19;10999;12;10989;15;11022;16;11029;16;11039;16;11014.0;0.0
0;9200;INTARIAN_PEPPER_ROOT;11004;19;10997;18;10987;13;11021;24;11028;17;11038;15;11012.5;0.0
0;9300;INTARIAN_PEPPER_ROOT;11003;17;10996;15;10986;14;11020;18;11027;22;11037;15;11011.5;0.0
0;9400;INTARIAN_PEPPER_ROOT;11003;19;10995;15;10984;18;11021;19;11029;17;11040;13;11012.0;0.0
0;9500;INTARIAN_PEPPER_ROOT;11006;14;10999;13;10989;14;11023;18;11030;13;11040;11;11014.5;0.0
0;9600;INTARIAN_PEPPER_ROOT;11004;29;10997;19;10987;19;11020;19;11027;20;11037;12;11012.0;0.0
0;9700;INTARIAN_PEPPER_ROOT;11004;17;10996;15;10985;17;11022;19;11030;13;11041;15;11013.0;0.0
0;9800;INTARIAN_PEPPER_ROOT;11004;14;10996;15;10984;13;11023;19;11031;20;11043;14;11013.5;0.0
0;9900;INTARIAN_PEPPER_ROOT;11003;20;10996;14;10986;19;11019;19;11026;17;11036;11;11011.0;0.0
